***** rtt program started *****
HOST(IPv6): ::1                                     	RTT(1) = 0.070 ms	RTT(2) = 0.088 ms	RTT(3) = 0.095 ms	

HOST(IPv4): 0.0.0.0                                 	RTT(1) = 0.313 ms	RTT(2) = 0.078 ms	RTT(3) = 0.086 ms	

HOST(IPv4): 127.0.0.1                               	RTT(1) = 0.096 ms	RTT(2) = 0.106 ms	RTT(3) = 0.110 ms	

HOST(IPv6): 2404:6800:4002:807::2003                	RTT(1) = **** ms	RTT(2) = **** ms	RTT(3) = **** ms	

HOST(IPv6): 2001:4860:4860::6464                    	RTT(1) = **** ms	RTT(2) = **** ms	RTT(3) = **** ms	

HOST(IPv6): 12:23::59                               	RTT(1) = **** ms	RTT(2) = **** ms	RTT(3) = **** ms	

HOST(IPv6): 2001:4860:4860::8888                    	RTT(1) = **** ms	RTT(2) = **** ms	RTT(3) = **** ms	

HOST(IPv6): 2001:4860:4860::8844                    	RTT(1) = **** ms	RTT(2) = **** ms	RTT(3) = **** ms	

HOST(IPv4): 5.62.62.124                             	RTT(1) = 114.382 ms	RTT(2) = 114.375 ms	RTT(3) = 114.202 ms	

HOST(IPv4): 5.62.60.164                             	RTT(1) = 114.421 ms	RTT(2) = 114.416 ms	RTT(3) = 114.410 ms	

HOST(IPv4): 5.62.56.100                             	RTT(1) = 114.445 ms	RTT(2) = 114.440 ms	RTT(3) = 114.434 ms	

HOST(IPv4): 5.62.62.140                             	RTT(1) = 114.471 ms	RTT(2) = 114.466 ms	RTT(3) = 114.462 ms	

HOST(IPv4): 5.62.56.72                              	RTT(1) = 114.498 ms	RTT(2) = 114.492 ms	RTT(3) = 114.486 ms	

HOST(IPv4): 5.62.62.128                             	RTT(1) = 114.513 ms	RTT(2) = 114.507 ms	RTT(3) = 114.501 ms	

HOST(IPv4): 5.62.56.80                              	RTT(1) = 114.521 ms	RTT(2) = 114.517 ms	RTT(3) = 114.512 ms	

HOST(IPv4): 5.62.34.8                               	RTT(1) = 114.395 ms	RTT(2) = 114.390 ms	RTT(3) = 114.382 ms	

HOST(IPv4): 138.199.14.130                          	RTT(1) = 114.571 ms	RTT(2) = 114.561 ms	RTT(3) = 114.547 ms	

HOST(IPv4): 5.62.60.104                             	RTT(1) = 114.585 ms	RTT(2) = 114.581 ms	RTT(3) = 114.572 ms	

HOST(IPv4): 5.62.62.172                             	RTT(1) = 114.394 ms	RTT(2) = 114.390 ms	RTT(3) = 114.383 ms	

